Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Trào ngược dạ dày thực quản,Đau dạ dày,Loét lưỡi,Nôn,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Nôn,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Ho,Đau ngực,,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Buồn nôn,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,
Ứ mật mãn tính,Nôn,Vàng da,Buồn nôn,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Vàng da,Buồn nôn,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Buồn nôn,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Buồn nôn,Đau bụng,Vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Buồn nôn,Chán ăn,Vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Buồn nôn,Chán ăn,Đau bụng,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Buồn nôn,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Buồn nôn,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,
Phản ứng thuốc,Ngứa,Phát ban da,Đau dạ dày,Tiểu buốt,Tiểu ra máu,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Đau dạ dày,Tiểu buốt,Tiểu ra máu,,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Phát ban da,Tiểu buốt,Tiểu ra máu,,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Phát ban da,Đau dạ dày,Tiểu ra máu,,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Phát ban da,Đau dạ dày,Tiểu buốt,,,,,,,,,,,,,
Phản ứng thuốc,Phát ban da,Đau dạ dày,Tiểu buốt,Tiểu ra máu,,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Đau dạ dày,Tiểu buốt,Tiểu ra máu,,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Phát ban da,Tiểu buốt,Tiểu ra máu,,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Phát ban da,Đau dạ dày,Tiểu ra máu,,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Phát ban da,Đau dạ dày,Tiểu buốt,,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Chán ăn,Đau bụng,Xì hơi,Ngứa trong người,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Khó tiêu,Đau bụng,Xì hơi,Ngứa trong người,,,,,,,,,,,,
Loét dạ dày tá tràng,Khó tiêu,Chán ăn,Đau bụng,Xì hơi,Ngứa trong người,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Chán ăn,Đau bụng,Xì hơi,Ngứa trong người,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Khó tiêu,Đau bụng,Xì hơi,Ngứa trong người,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Khó tiêu,Chán ăn,Xì hơi,Ngứa trong người,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Khó tiêu,Chán ăn,Đau bụng,Ngứa trong người,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Khó tiêu,Chán ăn,Đau bụng,Xì hơi,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Khó tiêu,Chán ăn,Đau bụng,Xì hơi,Ngứa trong người,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Khó tiêu,Chán ăn,Đau bụng,Xì hơi,Ngứa trong người,,,,,,,,,,,
AIDS,Teo cơ,Có mảng trắng trong cổ họng,Sốt cao,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,
AIDS,Có mảng trắng trong cổ họng,Sốt cao,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,,
AIDS,Teo cơ,Sốt cao,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,,
AIDS,Teo cơ,Có mảng trắng trong cổ họng,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,,
AIDS,Teo cơ,Có mảng trắng trong cổ họng,Sốt cao,,,,,,,,,,,,,,
AIDS,Teo cơ,Có mảng trắng trong cổ họng,Sốt cao,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,
AIDS,Teo cơ,Có mảng trắng trong cổ họng,Sốt cao,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,
AIDS,Có mảng trắng trong cổ họng,Sốt cao,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,,
AIDS,Teo cơ,Sốt cao,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,,
AIDS,Teo cơ,Có mảng trắng trong cổ họng,Sốt cao,,,,,,,,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Bồn chồn,Uể oải,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Bồn chồn,Uể oải,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,
Tiểu đường,Sút cân,Bồn chồn,Uể oải,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Tiểu đường,Mệt mỏi,Bồn chồn,Uể oải,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Uể oải,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Bồn chồn,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Bồn chồn,Uể oải,Mờ mắt và nhìn biến dạng,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Bồn chồn,Uể oải,Đường huyết không ổn định,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Bồn chồn,Uể oải,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Bồn chồn,Uể oải,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Béo phì,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Viêm dạ dày ruột,Nôn,Mắt trũng,Mất nước,Tiêu chảy,,,,,,,,,,,,,
Viêm dạ dày ruột,Nôn,Mắt trũng,Mất nước,Tiêu chảy,,,,,,,,,,,,,
Viêm dạ dày ruột,Mắt trũng,Mất nước,Tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,Nôn,Mất nước,Tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,Nôn,Mắt trũng,Tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,Nôn,Mắt trũng,Mất nước,,,,,,,,,,,,,,
Viêm dạ dày ruột,Nôn,Mắt trũng,Mất nước,Tiêu chảy,,,,,,,,,,,,,
Viêm dạ dày ruột,Mắt trũng,Mất nước,Tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,Nôn,Mất nước,Tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,Nôn,Mắt trũng,Tiêu chảy,,,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Ho,Sốt cao,Khó thở,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,
Hen phế quản,Ho,Sốt cao,Khó thở,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Sốt cao,Khó thở,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Ho,Khó thở,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Ho,Sốt cao,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Ho,Sốt cao,Khó thở,Đờm nhầy,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Ho,Sốt cao,Khó thở,Tiền sử gia đình,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Ho,Sốt cao,Khó thở,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,
Hen phế quản,Ho,Sốt cao,Khó thở,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Sốt cao,Khó thở,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Đau ngực,Chóng mặt,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,
Tăng huyết áp,Đau ngực,Chóng mặt,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Chóng mặt,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Đau ngực,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Đau ngực,Chóng mặt,Mất tập trung,,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Đau ngực,Chóng mặt,Mất thăng bằng,,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Đau ngực,Chóng mặt,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,
Tăng huyết áp,Đau ngực,Chóng mặt,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Chóng mặt,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Đau ngực,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Khó tiêu,Đau đầu,Mờ mắt và nhìn biến dạng,Đói quá mức,Cứng cổ,Trầm cảm,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,
Đau nửa đầu,Khó tiêu,Đau đầu,Mờ mắt và nhìn biến dạng,Đói quá mức,Cứng cổ,Trầm cảm,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Đau đầu,Mờ mắt và nhìn biến dạng,Đói quá mức,Cứng cổ,Trầm cảm,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Khó tiêu,Mờ mắt và nhìn biến dạng,Đói quá mức,Cứng cổ,Trầm cảm,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Khó tiêu,Đau đầu,Đói quá mức,Cứng cổ,Trầm cảm,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Khó tiêu,Đau đầu,Mờ mắt và nhìn biến dạng,Cứng cổ,Trầm cảm,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Khó tiêu,Đau đầu,Mờ mắt và nhìn biến dạng,Đói quá mức,Trầm cảm,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Khó tiêu,Đau đầu,Mờ mắt và nhìn biến dạng,Đói quá mức,Cứng cổ,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Khó tiêu,Đau đầu,Mờ mắt và nhìn biến dạng,Đói quá mức,Cứng cổ,Trầm cảm,Rối loạn thị giác,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Khó tiêu,Đau đầu,Mờ mắt và nhìn biến dạng,Đói quá mức,Cứng cổ,Trầm cảm,Dễ cáu gắt,,,,,,,,,
Thoái hóa đốt sống cổ,Đau lưng,Yếu chi,Đau cổ,Chóng mặt,Mất thăng bằng,,,,,,,,,,,,
Thoái hóa đốt sống cổ,Đau lưng,Yếu chi,Đau cổ,Chóng mặt,Mất thăng bằng,,,,,,,,,,,,
Thoái hóa đốt sống cổ,Yếu chi,Đau cổ,Chóng mặt,Mất thăng bằng,,,,,,,,,,,,,
Thoái hóa đốt sống cổ,Đau lưng,Đau cổ,Chóng mặt,Mất thăng bằng,,,,,,,,,,,,,
Thoái hóa đốt sống cổ,Đau lưng,Yếu chi,Chóng mặt,Mất thăng bằng,,,,,,,,,,,,,
Thoái hóa đốt sống cổ,Đau lưng,Yếu chi,Đau cổ,Mất thăng bằng,,,,,,,,,,,,,
Thoái hóa đốt sống cổ,Đau lưng,Yếu chi,Đau cổ,Chóng mặt,,,,,,,,,,,,,
Thoái hóa đốt sống cổ,Đau lưng,Yếu chi,Đau cổ,Chóng mặt,Mất thăng bằng,,,,,,,,,,,,
Thoái hóa đốt sống cổ,Yếu chi,Đau cổ,Chóng mặt,Mất thăng bằng,,,,,,,,,,,,,
Thoái hóa đốt sống cổ,Đau lưng,Đau cổ,Chóng mặt,Mất thăng bằng,,,,,,,,,,,,,
Liệt (xuất huyết não),Nôn,Đau đầu,Yếu nửa người,Rối loạn ý thức,,,,,,,,,,,,,
Liệt (xuất huyết não),Nôn,Đau đầu,Yếu nửa người,Rối loạn ý thức,,,,,,,,,,,,,
Liệt (xuất huyết não),Đau đầu,Yếu nửa người,Rối loạn ý thức,,,,,,,,,,,,,,
Liệt (xuất huyết não),Nôn,Yếu nửa người,Rối loạn ý thức,,,,,,,,,,,,,,
Liệt (xuất huyết não),Nôn,Đau đầu,Rối loạn ý thức,,,,,,,,,,,,,,
Liệt (xuất huyết não),Nôn,Đau đầu,Yếu nửa người,,,,,,,,,,,,,,
Liệt (xuất huyết não),Nôn,Đau đầu,Yếu nửa người,Rối loạn ý thức,,,,,,,,,,,,,
Liệt (xuất huyết não),Đau đầu,Yếu nửa người,Rối loạn ý thức,,,,,,,,,,,,,,
Liệt (xuất huyết não),Nôn,Yếu nửa người,Rối loạn ý thức,,,,,,,,,,,,,,
Liệt (xuất huyết não),Nôn,Đau đầu,Rối loạn ý thức,,,,,,,,,,,,,,
Vàng da,Ngứa,Nôn,Mệt mỏi,Sút cân,Sốt cao,Vàng da,Nước tiểu sẫm màu,Đau bụng,,,,,,,,,
Vàng da,Ngứa,Nôn,Mệt mỏi,Sút cân,Sốt cao,Vàng da,Nước tiểu sẫm màu,Đau bụng,,,,,,,,,
Vàng da,Nôn,Mệt mỏi,Sút cân,Sốt cao,Vàng da,Nước tiểu sẫm màu,Đau bụng,,,,,,,,,,
Vàng da,Ngứa,Mệt mỏi,Sút cân,Sốt cao,Vàng da,Nước tiểu sẫm màu,Đau bụng,,,,,,,,,,
Vàng da,Ngứa,Nôn,Sút cân,Sốt cao,Vàng da,Nước tiểu sẫm màu,Đau bụng,,,,,,,,,,
Vàng da,Ngứa,Nôn,Mệt mỏi,Sốt cao,Vàng da,Nước tiểu sẫm màu,Đau bụng,,,,,,,,,,
Vàng da,Ngứa,Nôn,Mệt mỏi,Sút cân,Vàng da,Nước tiểu sẫm màu,Đau bụng,,,,,,,,,,
Vàng da,Ngứa,Nôn,Mệt mỏi,Sút cân,Sốt cao,Nước tiểu sẫm màu,Đau bụng,,,,,,,,,,
Vàng da,Ngứa,Nôn,Mệt mỏi,Sút cân,Sốt cao,Vàng da,Đau bụng,,,,,,,,,,
Vàng da,Ngứa,Nôn,Mệt mỏi,Sút cân,Sốt cao,Vàng da,Nước tiểu sẫm màu,,,,,,,,,,
Sốt rét,Ớn lạnh,Nôn,Sốt cao,Đổ mồ hôi,Đau đầu,Buồn nôn,Đau cơ,,,,,,,,,,
Sốt rét,Ớn lạnh,Nôn,Sốt cao,Đổ mồ hôi,Đau đầu,Buồn nôn,Tiêu chảy,Đau cơ,,,,,,,,,
Sốt rét,Ớn lạnh,Nôn,Sốt cao,Đổ mồ hôi,Đau đầu,Buồn nôn,Tiêu chảy,Đau cơ,,,,,,,,,
Sốt rét,Nôn,Sốt cao,Đổ mồ hôi,Đau đầu,Buồn nôn,Tiêu chảy,Đau cơ,,,,,,,,,,
Sốt rét,Ớn lạnh,Sốt cao,Đổ mồ hôi,Đau đầu,Buồn nôn,Tiêu chảy,Đau cơ,,,,,,,,,,
Sốt rét,Ớn lạnh,Nôn,Đổ mồ hôi,Đau đầu,Buồn nôn,Tiêu chảy,Đau cơ,,,,,,,,,,
Sốt rét,Ớn lạnh,Nôn,Sốt cao,Đau đầu,Buồn nôn,Tiêu chảy,Đau cơ,,,,,,,,,,
Sốt rét,Ớn lạnh,Nôn,Sốt cao,Đổ mồ hôi,Buồn nôn,Tiêu chảy,Đau cơ,,,,,,,,,,
Sốt rét,Ớn lạnh,Nôn,Sốt cao,Đổ mồ hôi,Đau đầu,Tiêu chảy,Đau cơ,,,,,,,,,,
Sốt rét,Ớn lạnh,Nôn,Sốt cao,Đổ mồ hôi,Đau đầu,Buồn nôn,Đau cơ,,,,,,,,,,
Thủy đậu,Ngứa,Phát ban da,Mệt mỏi,Uể oải,Sốt cao,Đau đầu,Chán ăn,Sốt nhẹ,Hạch bạch huyết sưng to,Khó chịu toàn thân,Nốt đỏ khắp người,,,,,,
Thủy đậu,Phát ban da,Mệt mỏi,Uể oải,Sốt cao,Đau đầu,Chán ăn,Sốt nhẹ,Hạch bạch huyết sưng to,Khó chịu toàn thân,Nốt đỏ khắp người,,,,,,,
Thủy đậu,Ngứa,Mệt mỏi,Uể oải,Sốt cao,Đau đầu,Chán ăn,Sốt nhẹ,Hạch bạch huyết sưng to,Khó chịu toàn thân,Nốt đỏ khắp người,,,,,,,
Thủy đậu,Ngứa,Phát ban da,Uể oải,Sốt cao,Đau đầu,Chán ăn,Sốt nhẹ,Hạch bạch huyết sưng to,Khó chịu toàn thân,Nốt đỏ khắp người,,,,,,,
Thủy đậu,Ngứa,Phát ban da,Mệt mỏi,Sốt cao,Đau đầu,Chán ăn,Sốt nhẹ,Hạch bạch huyết sưng to,Khó chịu toàn thân,Nốt đỏ khắp người,,,,,,,
Thủy đậu,Ngứa,Phát ban da,Mệt mỏi,Uể oải,Đau đầu,Chán ăn,Sốt nhẹ,Hạch bạch huyết sưng to,Khó chịu toàn thân,Nốt đỏ khắp người,,,,,,,
Thủy đậu,Ngứa,Phát ban da,Mệt mỏi,Uể oải,Sốt cao,Chán ăn,Sốt nhẹ,Hạch bạch huyết sưng to,Khó chịu toàn thân,Nốt đỏ khắp người,,,,,,,
Thủy đậu,Ngứa,Phát ban da,Mệt mỏi,Uể oải,Sốt cao,Đau đầu,Sốt nhẹ,Hạch bạch huyết sưng to,Khó chịu toàn thân,Nốt đỏ khắp người,,,,,,,
Thủy đậu,Ngứa,Phát ban da,Mệt mỏi,Uể oải,Sốt cao,Đau đầu,Chán ăn,Hạch bạch huyết sưng to,Khó chịu toàn thân,Nốt đỏ khắp người,,,,,,,
Thủy đậu,Ngứa,Phát ban da,Mệt mỏi,Uể oải,Sốt cao,Đau đầu,Chán ăn,Sốt nhẹ,Khó chịu toàn thân,Nốt đỏ khắp người,,,,,,,
Sốt xuất huyết,Phát ban da,Ớn lạnh,Đau khớp,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Chán ăn,Đau sau hốc mắt,Đau lưng,Đau cơ,Nốt đỏ khắp người,,,,
Sốt xuất huyết,Phát ban da,Ớn lạnh,Đau khớp,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Chán ăn,Đau sau hốc mắt,Đau lưng,Khó chịu toàn thân,Nốt đỏ khắp người,,,,
Sốt xuất huyết,Phát ban da,Ớn lạnh,Đau khớp,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Chán ăn,Đau sau hốc mắt,Đau lưng,Khó chịu toàn thân,Đau cơ,,,,
Sốt xuất huyết,Phát ban da,Ớn lạnh,Đau khớp,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Chán ăn,Đau sau hốc mắt,Đau lưng,Khó chịu toàn thân,Đau cơ,Nốt đỏ khắp người,,,
Sốt xuất huyết,Ớn lạnh,Đau khớp,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Chán ăn,Đau sau hốc mắt,Đau lưng,Khó chịu toàn thân,Đau cơ,Nốt đỏ khắp người,,,,
Sốt xuất huyết,Phát ban da,Đau khớp,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Chán ăn,Đau sau hốc mắt,Đau lưng,Khó chịu toàn thân,Đau cơ,Nốt đỏ khắp người,,,,
Sốt xuất huyết,Phát ban da,Ớn lạnh,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Chán ăn,Đau sau hốc mắt,Đau lưng,Khó chịu toàn thân,Đau cơ,Nốt đỏ khắp người,,,,
Sốt xuất huyết,Phát ban da,Ớn lạnh,Đau khớp,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Chán ăn,Đau sau hốc mắt,Đau lưng,Khó chịu toàn thân,Đau cơ,Nốt đỏ khắp người,,,,
Sốt xuất huyết,Phát ban da,Ớn lạnh,Đau khớp,Nôn,Sốt cao,Đau đầu,Buồn nôn,Chán ăn,Đau sau hốc mắt,Đau lưng,Khó chịu toàn thân,Đau cơ,Nốt đỏ khắp người,,,,
Sốt xuất huyết,Phát ban da,Ớn lạnh,Đau khớp,Nôn,Mệt mỏi,Đau đầu,Buồn nôn,Chán ăn,Đau sau hốc mắt,Đau lưng,Khó chịu toàn thân,Đau cơ,Nốt đỏ khắp người,,,,
Thương hàn,Ớn lạnh,Nôn,Mệt mỏi,Sốt cao,Buồn nôn,Táo bón,Đau bụng,Tiêu chảy,Vẻ mặt nhiễm độc (typhos),Đau bụng,,,,,,,
Thương hàn,Ớn lạnh,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Táo bón,Đau bụng,Tiêu chảy,Vẻ mặt nhiễm độc (typhos),Đau bụng,,,,,,,
Thương hàn,Ớn lạnh,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Đau bụng,Tiêu chảy,Vẻ mặt nhiễm độc (typhos),Đau bụng,,,,,,,
Thương hàn,Ớn lạnh,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Táo bón,Tiêu chảy,Vẻ mặt nhiễm độc (typhos),Đau bụng,,,,,,,
Thương hàn,Ớn lạnh,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Táo bón,Đau bụng,Vẻ mặt nhiễm độc (typhos),Đau bụng,,,,,,,
Thương hàn,Ớn lạnh,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Táo bón,Đau bụng,Tiêu chảy,Đau bụng,,,,,,,
Thương hàn,Ớn lạnh,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Táo bón,Đau bụng,Tiêu chảy,Vẻ mặt nhiễm độc (typhos),,,,,,,
Thương hàn,Ớn lạnh,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Táo bón,Đau bụng,Tiêu chảy,Vẻ mặt nhiễm độc (typhos),Đau bụng,,,,,,
Thương hàn,Ớn lạnh,Nôn,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Táo bón,Đau bụng,Tiêu chảy,Vẻ mặt nhiễm độc (typhos),Đau bụng,,,,,,
Thương hàn,Ớn lạnh,Mệt mỏi,Sốt cao,Đau đầu,Buồn nôn,Táo bón,Đau bụng,Tiêu chảy,Vẻ mặt nhiễm độc (typhos),Đau bụng,,,,,,,
