Disease,Description
Thoái hóa đốt sống cổ,"Thoái hóa đốt sống cổ là một thuật ngữ chung để chỉ sự hao mòn liên quan đến tuổi tác ảnh hưởng đến các đĩa đệm cột sống ở cổ của bạn. Khi các đĩa đệm mất nước và co lại, các dấu hiệu viêm xương khớp sẽ phát triển, bao gồm cả các gai xương nhô ra dọc theo mép xương (gai xương)."
Bệnh cường giáp,"Bệnh cường giáp (tuyến giáp hoạt động quá mức) xảy ra khi tuyến giáp của bạn sản xuất quá nhiều hormone thyroxine. Bệnh cường giáp có thể đẩy nhanh quá trình trao đổi chất của cơ thể, gây giảm cân không chủ ý và nhịp tim nhanh hoặc không đều."
Nhiễm trùng đường tiết niệu,"Nhiễm trùng đường tiết niệu: Nhiễm trùng thận, niệu quản, bàng quang hoặc niệu đạo. UTI viết tắt. Không phải tất cả mọi người bị nhiễm trùng tiểu đều có triệu chứng, nhưng các triệu chứng phổ biến bao gồm buồn tiểu thường xuyên và đau hoặc rát khi đi tiểu."
Giãn tĩnh mạch,"Tĩnh mạch sưng lên và xoắn lại, thường xuất hiện dưới dạng mạch máu phồng lên, màu xanh lam có thể nhìn thấy rõ qua da. Giãn tĩnh mạch thường gặp nhất ở người lớn tuổi, đặc biệt là phụ nữ và đặc biệt xảy ra ở chân."
AIDS,"Hội chứng suy giảm miễn dịch mắc phải (AIDS) là một tình trạng mãn tính, có khả năng đe dọa tính mạng do virus gây suy giảm miễn dịch ở người (HIV) gây ra. Bằng cách làm tổn hại hệ thống miễn dịch của bạn, HIV cản trở khả năng chống lại nhiễm trùng và bệnh tật của cơ thể bạn."
Liệt (xuất huyết não),"Xuất huyết nội sọ (ICH) là khi máu đột ngột tràn vào mô não, gây tổn thương não. Các triệu chứng thường xuất hiện đột ngột trong ICH. Chúng bao gồm đau đầu, suy nhược, lú lẫn và tê liệt, đặc biệt là ở một bên cơ thể."
bệnh thương hàn,"Một căn bệnh cấp tính đặc trưng bởi sốt do nhiễm vi khuẩn Salmonella typhi. Bệnh thương hàn khởi phát âm thầm với các biểu hiện sốt, nhức đầu, táo bón, khó chịu, ớn lạnh và đau cơ. Tiêu chảy ít gặp và nôn mửa thường không nghiêm trọng."
Viêm gan B,"Viêm gan B là một bệnh nhiễm trùng ở gan của bạn. Nó có thể gây sẹo nội tạng, suy gan và ung thư. Nó có thể gây tử vong nếu không được điều trị. Nó lây lan khi mọi người tiếp xúc với máu, vết loét hở hoặc dịch cơ thể của người nhiễm vi-rút viêm gan B."
Nhiễm trùng nấm,"Ở người, nhiễm nấm xảy ra khi một loại nấm xâm nhập chiếm một khu vực của cơ thể và khiến hệ thống miễn dịch không thể xử lý được. Nấm có thể sống trong không khí, đất, nước và thực vật. Ngoài ra còn có một số loại nấm sống tự nhiên trong cơ thể con người. Giống như nhiều loại vi khuẩn, có loại nấm hữu ích và loại nấm có hại."
Viêm gan C,"Viêm gan do virus viêm gan C (HCV), thường lây lan qua truyền máu (hiếm), chạy thận nhân tạo và kim tiêm. Tổn thương do viêm gan C gây ra cho gan có thể dẫn đến xơ gan và các biến chứng cũng như ung thư."
chứng đau nửa đầu,"Chứng đau nửa đầu có thể gây ra cơn đau nhói dữ dội hoặc cảm giác như mạch đập, thường ở một bên đầu. Nó thường đi kèm với buồn nôn, nôn mửa và cực kỳ nhạy cảm với ánh sáng và âm thanh. Các cơn đau nửa đầu có thể kéo dài hàng giờ đến vài ngày và cơn đau có thể nghiêm trọng đến mức cản trở các hoạt động hàng ngày của bạn."
Hen phế quản,"Hen phế quản là một tình trạng bệnh lý khiến đường dẫn khí của phổi sưng lên và thu hẹp. Do tình trạng sưng tấy này, đường dẫn khí tạo ra nhiều chất nhầy khiến bạn khó thở, dẫn đến ho, thở ngắn và thở khò khè. Căn bệnh này diễn ra mãn tính và gây trở ngại cho công việc hàng ngày."
Viêm gan do rượu,"Viêm gan do rượu là tình trạng bệnh viêm gan do uống nhiều rượu trong thời gian dài. Nó cũng trở nên trầm trọng hơn khi uống rượu say và sử dụng rượu liên tục. Nếu bạn phát triển tình trạng này, bạn phải ngừng uống rượu"
vàng da,"Da và củng mạc (lòng trắng của mắt) có màu vàng do nồng độ sắc tố mật bilirubin trong máu cao bất thường. Màu vàng lan sang các mô và dịch cơ thể khác. Bệnh vàng da từng được gọi là ""morbus regius"" (căn bệnh vương giả) với niềm tin rằng chỉ có sự chạm vào của một vị vua mới có thể chữa khỏi bệnh."
Viêm gan E,Một dạng viêm gan hiếm gặp do nhiễm vi-rút viêm gan E (HEV). Nó lây truyền qua thực phẩm hoặc đồ uống do người bị nhiễm bệnh xử lý hoặc qua nguồn nước bị nhiễm bệnh ở những khu vực mà phân có thể xâm nhập vào nước. Viêm gan E không gây ra bệnh gan mãn tính.
Sốt xuất huyết,"một bệnh truyền nhiễm cấp tính do flavivirus (loài virus sốt xuất huyết thuộc chi Flavivirus) lây truyền qua muỗi Aedes và có đặc điểm là đau đầu, đau khớp dữ dội và phát ban. - còn gọi là sốt gãy xương, sốt xuất huyết."
Viêm gan D,"Viêm gan D, còn được gọi là virus viêm gan delta, là một bệnh nhiễm trùng khiến gan bị viêm. Tình trạng sưng tấy này có thể làm suy giảm chức năng gan và gây ra các vấn đề về gan lâu dài, bao gồm sẹo gan và ung thư. Tình trạng này do virus viêm gan D (HDV) gây ra."
Đau tim,"Cơ tim chết do mất nguồn cung cấp máu. Việc mất nguồn cung cấp máu thường do tắc nghẽn hoàn toàn động mạch vành, một trong những động mạch cung cấp máu cho cơ tim."
Viêm phổi,"Viêm phổi là tình trạng nhiễm trùng ở một hoặc cả hai phổi. Vi khuẩn, vi rút và nấm gây ra nó. Nhiễm trùng gây viêm túi khí trong phổi, được gọi là phế nang. Các phế nang chứa đầy chất lỏng hoặc mủ, gây khó thở."
Viêm khớp,"Viêm khớp là tình trạng sưng và đau ở một hoặc nhiều khớp của bạn. Các triệu chứng chính của viêm khớp là đau khớp và cứng khớp, thường trầm trọng hơn theo tuổi tác. Các loại viêm khớp phổ biến nhất là viêm xương khớp và viêm khớp dạng thấp."
Viêm dạ dày ruột,"Viêm dạ dày ruột là tình trạng viêm đường tiêu hóa, đặc biệt là dạ dày, ruột già và ruột non. Viêm dạ dày ruột do vi rút và vi khuẩn là bệnh nhiễm trùng đường ruột liên quan đến các triệu chứng tiêu chảy, đau bụng, buồn nôn và nôn."
bệnh lao,"Bệnh lao (TB) là một bệnh truyền nhiễm thường do vi khuẩn Mycobacteria bệnh lao (MTB) gây ra. Bệnh lao thường ảnh hưởng đến phổi nhưng cũng có thể ảnh hưởng đến các bộ phận khác của cơ thể. Hầu hết các bệnh nhiễm trùng đều không có triệu chứng, trong trường hợp đó được gọi là bệnh lao tiềm ẩn."
